Thread_ID,Block_ID,Thickness,Density,R,G,B
1,3,163.0,1.0061349693251531,50.92698170731708,64.30411585365853,184.58948170731708
2,4,163.0,1.0061349693251531,53.23185975609756,67.29375,192.37301829268293
3,5,163.0,1.0061349693251531,55.59115853658537,71.00396341463414,201.7516768292683
4,6,163.0,1.0061349693251531,58.57942073170732,73.73490853658537,211.42057926829267
5,7,163.0,1.0061349693251531,59.74923780487805,74.32743902439024,214.08841463414635
6,8,163.0,1.0061349693251531,61.93704268292683,77.65868902439024,220.7878048780488
7,9,163.0,1.0061349693251531,64.36143292682927,80.90868902439024,226.46509146341464
8,10,163.0,1.0061349693251531,64.93338414634147,81.81265243902439,228.950762195122
9,11,163.0,1.0061349693251531,66.93567073170732,85.10121951219512,232.600762195122
10,12,163.0,1.0061349693251531,67.19771341463415,86.67118902439024,234.7172256097561
11,13,163.0,1.0061349693251531,68.10228658536586,86.7733231707317,235.2217987804878
12,14,163.0,1.0061349693251531,67.88460365853659,87.2954268292683,235.3673780487805
13,15,163.0,1.0061349693251531,68.40396341463415,87.93048780487806,235.66356707317075
14,16,163.0,1.0061349693251531,68.02987804878049,87.73521341463415,235.59939024390243
15,17,163.0,1.0061349693251531,67.88307926829269,86.59344512195122,234.9626524390244
16,18,163.0,1.0061349693251531,68.67301829268293,88.77804878048781,237.42408536585367
17,19,163.0,1.0061349693251531,67.90746951219512,87.8170731707317,234.96493902439025
18,20,163.0,1.0061349693251531,66.40716463414634,85.62439024390244,232.37073170731708
19,21,163.0,1.0061349693251531,66.58871951219513,86.12225609756098,233.02621951219515
20,22,163.0,1.0061349693251531,64.70868902439024,83.55548780487806,229.04740853658527
21,23,163.0,1.0061349693251531,63.86631097560976,83.67789634146341,228.702743902439
22,24,163.0,1.0061349693251531,63.38765243902439,81.9157012195122,226.57286585365853
23,25,163.0,1.0061349693251531,61.8827743902439,79.35198170731708,222.859756097561
24,26,163.0,1.0061349693251531,59.89573170731708,77.5060975609756,217.4565548780488
25,27,163.0,1.0061349693251531,58.57759146341464,76.67408536585366,213.49024390243903
26,28,163.0,1.0061349693251531,56.99390243902439,73.91768292682927,207.57896341463416
27,29,163.0,1.0061349693251531,55.95518292682927,72.58323170731707,203.44298780487804
28,30,163.0,1.0061349693251531,55.420274390243904,71.03064024390244,200.06371951219512
29,31,163.0,1.0061349693251531,54.28231707317073,70.77850609756098,197.4905487804878
30,32,163.0,1.0061349693251531,51.891615853658536,67.26356707317073,188.9592987804878
31,33,163.0,1.0061349693251531,51.96143292682927,67.58399390243902,189.1178353658537
32,34,163.0,1.0061349693251531,50.81859756097561,65.97682926829269,185.01615853658527
33,35,163.0,1.0061349693251531,49.701067073170734,64.37301829268293,180.62012195121952
34,36,163.0,1.0061349693251531,50.234756097560975,64.43246951219513,181.8135670731708
35,37,163.0,1.0061349693251531,52.27362804878049,67.42103658536585,189.27164634146345
36,38,163.0,1.0061349693251531,53.86981707317073,69.73551829268293,195.26509146341465
37,39,163.0,1.0061349693251531,54.09939024390244,69.8640243902439,195.9496951219512
38,40,163.0,1.0061349693251531,55.33917682926829,71.54481707317073,200.59298780487805
39,41,163.0,1.0061349693251531,57.042073170731705,73.29878048780488,205.89878048780488
40,42,163.0,1.0061349693251531,57.646646341463416,73.76219512195122,207.85213414634143
41,43,163.0,1.0061349693251531,59.4672256097561,75.9922256097561,214.1131097560976
42,44,163.0,1.0061349693251531,60.04405487804878,76.90243902439025,216.73689024390245
43,45,163.0,1.0061349693251531,61.2734756097561,77.21432926829269,219.6766768292683
44,46,163.0,1.0061349693251531,62.69466463414634,79.03993902439025,223.91737804878048
45,47,163.0,1.0061349693251531,64.18704268292683,81.5780487804878,227.65548780487805
46,48,163.0,1.0061349693251531,64.16067073170731,81.21814024390244,227.0885670731708
47,49,163.0,1.0061349693251531,65.33216463414634,82.58155487804878,229.80137195121952
48,50,163.0,1.0061349693251531,65.90381097560976,82.8079268292683,231.41875
49,51,163.0,1.0061349693251531,65.76646341463415,82.24740853658537,230.11844512195125
50,52,163.0,1.0061349693251531,66.51082317073171,83.33628048780488,233.0422256097561
51,53,163.0,1.0061349693251531,65.37378048780488,81.9939024390244,230.6033536585365
53,3,163.0,1.0061349693251531,53.35899390243903,68.39939024390245,192.46067073170727
54,4,163.0,1.0061349693251531,54.66814024390244,70.46067073170731,197.28932926829268
55,5,163.0,1.0061349693251531,56.10198170731707,71.42301829268293,201.5545731707317
56,6,163.0,1.0061349693251531,57.84618902439024,73.13368902439025,206.48887195121952
57,7,163.0,1.0061349693251531,59.3780487804878,75.0967987804878,212.088262195122
58,8,163.0,1.0061349693251531,60.45396341463415,76.96753048780488,214.90899390243905
59,9,163.0,1.0061349693251531,61.646189024390246,78.49039634146341,219.23689024390245
60,10,163.0,1.0061349693251531,62.63353658536585,79.93551829268293,221.76509146341465
61,11,163.0,1.0061349693251531,63.165701219512194,80.62942073170731,222.8065548780488
62,12,163.0,1.0061349693251531,64.11783536585367,82.51753048780488,224.50731707317075
63,13,163.0,1.0061349693251531,64.8986280487805,83.00289634146341,226.25228658536585
64,14,163.0,1.0061349693251531,64.83246951219512,83.83506097560975,226.96128048780488
65,15,163.0,1.0061349693251531,65.03399390243902,84.19100609756097,227.55868902439025
66,16,163.0,1.0061349693251531,64.73262195121951,84.06539634146341,226.18414634146345
67,17,163.0,1.0061349693251531,64.47896341463415,83.00853658536586,226.32698170731703
68,18,163.0,1.0061349693251531,64.84420731707317,83.87560975609756,226.5167682926829
69,19,163.0,1.0061349693251531,64.75625,83.65442073170732,226.31448170731707
70,20,163.0,1.0061349693251531,64.07454268292683,83.92698170731707,225.93368902439025
71,21,163.0,1.0061349693251531,64.71006097560975,83.69100609756097,226.2894817073171
72,22,163.0,1.0061349693251531,64.52835365853659,83.2657012195122,227.03384146341463
73,23,163.0,1.0061349693251531,63.709298780487806,82.75289634146341,225.06463414634143
74,24,163.0,1.0061349693251531,62.95381097560976,80.97454268292682,222.37454268292683
75,25,163.0,1.0061349693251531,62.62179878048781,80.66265243902438,222.56935975609755
76,26,163.0,1.0061349693251531,62.3344512195122,80.3844512195122,221.2028963414634
77,27,163.0,1.0061349693251531,61.42530487804878,79.9265243902439,218.92393292682928
78,28,163.0,1.0061349693251531,60.99344512195122,78.90365853658537,218.56371951219512
79,29,163.0,1.0061349693251531,59.8202743902439,77.03612804878048,215.22286585365853
80,30,163.0,1.0061349693251531,59.41615853658536,76.90899390243902,214.3092987804878
81,31,163.0,1.0061349693251531,58.88292682926829,76.26112804878049,211.72423780487804
82,32,163.0,1.0061349693251531,58.05381097560976,75.1734756097561,210.09496951219512
83,33,163.0,1.0061349693251531,58.38201219512195,75.83064024390244,210.575762195122
84,34,163.0,1.0061349693251531,57.65167682926829,74.37896341463414,208.72134146341463
85,35,163.0,1.0061349693251531,57.72469512195122,74.40914634146341,207.7986280487805
86,36,163.0,1.0061349693251531,56.03185975609756,71.58460365853658,201.93079268292684
87,37,163.0,1.0061349693251531,56.49740853658537,73.12606707317073,204.44253048780487
